time,value,ema,is_anomaly
2022-06-20T11:21:04Z,61,,False
2022-06-20T11:21:05Z,59,,False
2022-06-20T11:21:06Z,52,,False
2022-06-20T11:21:07Z,41,,False
2022-06-20T11:21:08Z,61,54.8,False
2022-06-20T11:21:09Z,46,51.8,False
2022-06-20T11:21:10Z,58,51.6,False
2022-06-20T11:21:11Z,41,49.4,False
2022-06-20T11:21:12Z,42,49.6,False
2022-06-20T11:21:13Z,47,46.8,False
2022-06-20T11:21:14Z,47,47.0,False
2022-06-20T11:21:15Z,58,47.0,False
2022-06-20T11:21:16Z,60,50.8,False
2022-06-20T11:21:17Z,56,53.6,False
2022-06-20T11:21:18Z,45,53.2,False
2022-06-20T11:21:19Z,61,56.0,False
2022-06-20T11:21:20Z,57,55.8,False
2022-06-20T11:21:21Z,43,52.4,False
2022-06-20T11:21:22Z,47,50.6,False
2022-06-20T11:21:23Z,50,51.6,False
2022-06-20T11:21:24Z,54,50.2,False
2022-06-20T11:21:25Z,43,47.4,False
2022-06-20T11:21:26Z,56,50.0,False
2022-06-20T11:21:27Z,42,49.0,False
2022-06-20T11:21:28Z,54,49.8,False
2022-06-20T11:21:29Z,41,47.2,False
2022-06-20T11:21:30Z,50,48.6,False
2022-06-20T11:21:31Z,55,48.4,False
2022-06-20T11:21:32Z,48,49.6,False
2022-06-20T11:21:33Z,46,48.0,False
2022-06-20T11:21:34Z,52,50.2,False
2022-06-20T11:21:35Z,52,50.6,False
2022-06-20T11:21:36Z,50,49.6,False
2022-06-20T11:21:37Z,58,51.6,False
2022-06-20T11:21:38Z,42,50.8,False
2022-06-20T11:21:39Z,55,51.4,False
2022-06-20T11:21:40Z,44,49.8,False
2022-06-20T11:21:41Z,61,52.0,False
2022-06-20T11:21:42Z,57,51.8,False
2022-06-20T11:21:43Z,52,53.8,False
2022-06-20T11:21:44Z,59,54.6,False
2022-06-20T11:21:45Z,45,54.8,False
2022-06-20T11:21:46Z,56,53.8,False
2022-06-20T11:21:47Z,61,54.6,False
2022-06-20T11:21:48Z,42,52.6,False
2022-06-20T11:21:49Z,46,50.0,False
2022-06-20T11:21:50Z,58,52.6,False
2022-06-20T11:21:51Z,55,52.4,False
2022-06-20T11:21:52Z,47,49.6,False
2022-06-20T11:21:53Z,46,50.4,False
2022-06-20T11:21:54Z,51,51.4,False
2022-06-20T11:21:55Z,52,50.2,False
2022-06-20T11:21:56Z,48,48.8,False
2022-06-20T11:21:57Z,46,48.6,False
2022-06-20T11:21:58Z,56,50.6,False
2022-06-20T11:21:59Z,44,49.2,False
2022-06-20T11:22:00Z,48,48.4,False
2022-06-20T11:22:01Z,54,49.6,False
2022-06-20T11:22:02Z,58,52.0,False
2022-06-20T11:22:03Z,61,53.0,False
2022-06-20T11:22:04Z,53,54.8,False
2022-06-20T11:22:05Z,45,54.2,False
2022-06-20T11:22:06Z,49,53.2,False
2022-06-20T11:22:07Z,45,50.6,False
2022-06-20T11:22:08Z,58,50.0,False
2022-06-20T11:22:09Z,54,50.2,False
2022-06-20T11:22:10Z,45,50.2,False
2022-06-20T11:22:11Z,49,50.2,False
2022-06-20T11:22:12Z,47,50.6,False
2022-06-20T11:22:13Z,46,48.2,False
