time,value,ema,is_anomaly
2022-06-19T06:54:27Z,45.21,56.446,TRUE
2022-06-19T06:54:29Z,62.8,57.46,TRUE
2022-06-19T06:54:31Z,62.97,58.258,TRUE
2022-06-19T06:54:33Z,64.52,59.582,TRUE
2022-06-19T06:54:35Z,67.38,60.576,TRUE
2022-06-19T06:54:38Z,63.22,64.178,TRUE
2022-06-19T06:54:40Z,62.31,64.08,TRUE
2022-06-19T06:54:42Z,49.72,61.43,TRUE
2022-06-19T06:55:10Z,53.87,59.3,TRUE
2022-06-19T06:55:12Z,66.26,59.076,TRUE
2022-06-19T06:55:14Z,62.91,59.014,TRUE
2022-06-19T06:55:16Z,61.96,58.944,TRUE
2022-06-19T06:55:18Z,53.76,59.752,TRUE
2022-06-19T06:55:20Z,67.53,62.484,TRUE
2022-06-19T06:55:23Z,49.96,59.224,TRUE
2022-06-19T06:55:25Z,53.29,57.3,TRUE
2022-06-19T06:55:27Z,58.57,56.622,TRUE
2022-06-19T06:55:29Z,69.91,59.852,TRUE
2022-06-19T06:55:31Z,62.63,58.872,TRUE
2022-06-19T06:55:33Z,58.69,60.618,TRUE
2022-06-19T06:55:36Z,52.37,60.434,TRUE
2022-06-19T06:55:38Z,57.92,60.304,TRUE
2022-06-19T06:55:40Z,51.7,56.662,TRUE
2022-06-19T06:55:42Z,45.78,53.292,TRUE
2022-06-19T06:55:44Z,57.28,53.01,TRUE
2022-06-19T06:55:46Z,57.68,54.072,TRUE
2022-06-19T06:55:48Z,62.44,54.976,TRUE
2022-06-19T06:55:51Z,53.18,55.272,TRUE
2022-06-19T06:55:53Z,58.54,57.824,TRUE
2022-06-19T06:55:55Z,46.31,55.63,TRUE
2022-06-19T06:55:57Z,50.34,54.162,TRUE
2022-06-19T06:55:59Z,61.64,54.002,TRUE
2022-06-19T06:56:02Z,63.87,56.14,TRUE
2022-06-19T06:56:04Z,44.57,53.346,TRUE
2022-06-19T06:56:06Z,52.78,54.64,TRUE
2022-06-19T06:56:08Z,65.96,57.764,TRUE
2022-06-19T06:56:10Z,53.18,56.072,TRUE
