,data
2022-04-11 11:00:00,107
2022-04-11 11:00:01,135
2022-04-11 11:00:02,141
2022-04-11 11:00:03,147
2022-04-11 11:00:04,97
2022-04-11 11:00:05,101
2022-04-11 11:00:06,142
2022-04-11 11:00:07,68
2022-04-11 11:00:08,113
2022-04-11 11:00:09,117
2022-04-11 11:00:10,75
2022-04-11 11:00:11,126
2022-04-11 11:00:12,103
2022-04-11 11:00:13,98
2022-04-11 11:00:14,93
2022-04-11 11:00:15,53
2022-04-11 11:00:16,144
2022-04-11 11:00:17,80
2022-04-11 11:00:18,133
2022-04-11 11:00:19,83
2022-04-11 11:00:20,74
2022-04-11 11:00:21,112
2022-04-11 11:00:22,121
2022-04-11 11:00:23,114
2022-04-11 11:00:24,108
2022-04-11 11:00:25,110
2022-04-11 11:00:26,139
2022-04-11 11:00:27,102
2022-04-11 11:00:28,73
2022-04-11 11:00:29,58
2022-04-11 11:00:30,140
2022-04-11 11:00:31,77
2022-04-11 11:00:32,102
2022-04-11 11:00:33,104
2022-04-11 11:00:34,130
2022-04-11 11:00:35,53
2022-04-11 11:00:36,139
2022-04-11 11:00:37,65
2022-04-11 11:00:38,100
2022-04-11 11:00:39,118
2022-04-11 11:00:40,72
2022-04-11 11:00:41,128
2022-04-11 11:00:42,119
2022-04-11 11:00:43,82
2022-04-11 11:00:44,150
2022-04-11 11:00:45,59
2022-04-11 11:00:46,120
2022-04-11 11:00:47,123
2022-04-11 11:00:48,80
2022-04-11 11:00:49,62
2022-04-11 11:00:50,100
2022-04-11 11:00:51,68
2022-04-11 11:00:52,60
2022-04-11 11:00:53,114
2022-04-11 11:00:54,98
2022-04-11 11:00:55,79
2022-04-11 11:00:56,61
2022-04-11 11:00:57,66
2022-04-11 11:00:58,96
2022-04-11 11:00:59,141
2022-04-11 11:01:00,79
2022-04-11 11:01:01,130
2022-04-11 11:01:02,148
2022-04-11 11:01:03,87
2022-04-11 11:01:04,67
2022-04-11 11:01:05,84
2022-04-11 11:01:06,53
2022-04-11 11:01:07,83
2022-04-11 11:01:08,90
2022-04-11 11:01:09,106
2022-04-11 11:01:10,128
2022-04-11 11:01:11,126
2022-04-11 11:01:12,95
2022-04-11 11:01:13,70
2022-04-11 11:01:14,91
2022-04-11 11:01:15,108
2022-04-11 11:01:16,129
2022-04-11 11:01:17,123
2022-04-11 11:01:18,92
2022-04-11 11:01:19,89
2022-04-11 11:01:20,61
2022-04-11 11:01:21,135
2022-04-11 11:01:22,123
2022-04-11 11:01:23,136
2022-04-11 11:01:24,137
2022-04-11 11:01:25,91
2022-04-11 11:01:26,117
2022-04-11 11:01:27,130
2022-04-11 11:01:28,61
2022-04-11 11:01:29,116
2022-04-11 11:01:30,99
2022-04-11 11:01:31,108
2022-04-11 11:01:32,110
2022-04-11 11:01:33,112
2022-04-11 11:01:34,145
2022-04-11 11:01:35,90
2022-04-11 11:01:36,124
2022-04-11 11:01:37,134
2022-04-11 11:01:38,106
2022-04-11 11:01:39,133
2022-04-11 11:01:40,140
2022-04-11 11:01:41,54
2022-04-11 11:01:42,133
2022-04-11 11:01:43,59
2022-04-11 11:01:44,116
2022-04-11 11:01:45,72
2022-04-11 11:01:46,137
2022-04-11 11:01:47,119
2022-04-11 11:01:48,97
2022-04-11 11:01:49,150
2022-04-11 11:01:50,84
2022-04-11 11:01:51,137
2022-04-11 11:01:52,147
2022-04-11 11:01:53,70
